CN_BLLING_PARTY_CODE,PARTY_NAME,CN_CN_NO,BKG_Date,BKG_Zone,BKG_State,BKG_Branch,CN_SOURCE_BRANCH_CODE,DLY_Zone,DLY_State,DLY_Branch_Name,DLY_Code,Consignor_Code,CNR_NAME,CEE_NAME,CONSIGNEE_CODE,EDD_Date,Reached At Destination,Out For Delivery Date,DLY_Date,MIN_POD_OR_DDR_DATE,No_of_Pkg,Actual_Wt,Charged_Wt,TPTR_Mode,DEL_POINT,FRIGHT_MODE,LOAD_TYPE,Freight Amount,ODA_FLAG,Appointment_Flag,Appointment_Date,MNTH,ONTIME_ARVL,DLVD_WITHOUT_TOKEN,CN_Current_Status,NDR_Remark,DELIVERY_STATUS,TAT_MISSING,BUSINESS_TYPE,TAT_DAYS,RETAIL_TAT_DAYS,OPS_TAT,KOM_NAME,KOM_ID,EDD_Diff_Day,CN_CURRENT_BRANCH,CN_CURRENT_BRANCH_NAME,NO_OF_ATTEMPTS,PICKUP_CHLN_DATE,DELEVERY_TYPE,BILL_DATE
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,SOUTH-I,TELANGANA,BOWENPALLY - TELANGANA,1629,111298,REDTAPE LTD,REDTAPE LIMITED LB NAGAR 1,839408,"10/11/2025, 12:00 AM","10/11/2025, 10:19 AM","11/11/2025, 10:56 AM","11/11/2025, 12:00 AM","13/11/2025, 12:00 AM",5,50,50,SURFACE,DOOR,TBB(T.P),PART-LOAD,974.13,N,N,,Nov,N,N,Delivered,Contact No Issue,LATE DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,49,1611,CHERLAPALLY-TELANGANA,0,"4/11/2025, 8:51 PM",,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,SOUTH-I,TELANGANA,BOWENPALLY - TELANGANA,1629,111298,REDTAPE LTD,REDTAPE LIMITED TOLICHGOWKI 2,839522,"10/11/2025, 12:00 AM","10/11/2025, 12:47 PM","11/11/2025, 9:39 AM","11/11/2025, 12:00 AM","13/11/2025, 12:00 AM",5,50,50,SURFACE,DOOR,TBB(T.P),PART-LOAD,973.34,N,N,,Nov,N,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,49,1629,BOWENPALLY - TELANGANA,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,UTTARAKHAND,SITARGANJ-UTTRAKHAND,3304,111298,REDTAPE LTD,REDTAPE ,884199,"7/11/2025, 12:00 AM","6/11/2025, 4:53 PM","7/11/2025, 1:09 PM","7/11/2025, 12:00 AM","7/11/2025, 12:00 AM",4,40,40,SURFACE,DOOR,TBB(T.P),PART-LOAD,1391.42,N,N,,Nov,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,3,0,3,BRIJESH(19048),19048,52,3304,SITARGANJ-UTTRAKHAND,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,PUNJAB,LUDHIANA HUB,1920,111298,REDTAPE LTD,REDTAPE LIMITED,506569,"9/11/2025, 12:00 AM","8/11/2025, 4:57 AM","11/11/2025, 10:29 AM","11/11/2025, 12:00 AM","15/11/2025, 12:00 AM",3,30,30,SURFACE,DOOR,TBB(T.P),PART-LOAD,544.2,N,N,,Nov,Y,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1920,LUDHIANA HUB,0,"4/11/2025, 8:58 PM",,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,UTTARAKHAND,RUDRAPUR-UTTRAKHAND,3301,111298,REDTAPE LTD,REDTAPE LTD,221238,"7/11/2025, 12:00 AM","5/11/2025, 2:57 AM","5/11/2025, 1:09 PM","5/11/2025, 12:00 AM","6/11/2025, 12:00 AM",2,20,20,SURFACE,DOOR,TBB(T.P),PART-LOAD,443.05,N,N,,Nov,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,3,0,3,BRIJESH(19048),19048,52,3301,RUDRAPUR-UTTRAKHAND,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,RAJASTHAN,JODHPUR-RAJASTHAN,1709,111298,REDTAPE LTD,REDTAPE LIMITED ON LINE,816388,"9/11/2025, 12:00 AM","9/11/2025, 5:07 PM","10/11/2025, 10:56 PM","10/11/2025, 12:00 AM","12/11/2025, 12:00 AM",2,20,20,SURFACE,DOOR,TBB(T.P),PART-LOAD,1199.02,N,N,,Nov,N,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,1709,JODHPUR-RAJASTHAN,0,"4/11/2025, 8:58 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,UTTARAKHAND,LAL TAPPER-UTTRAKHAND,4005,111298,REDTAPE LTD,REDTAPE LTD SRINAGAR,620628,"7/11/2025, 12:00 AM","8/11/2025, 5:37 AM","9/11/2025, 2:42 PM","9/11/2025, 12:00 AM","12/11/2025, 12:00 AM",3,30,30,SURFACE,DOOR,TBB(T.P),PART-LOAD,1296.42,N,N,,Nov,N,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,3,0,3,BRIJESH(19048),19048,52,2205,HARIDWAR-UTTRAKHAND,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,WEST-I,MAHARASHTRA,BHOSARI TAPASWADI - MH,2804,111298,REDTAPE LTD,REDTAPE LIMITED - PREMIER PLAZA 3,908437,"10/11/2025, 12:00 AM","12/11/2025, 4:27 PM","20/11/2025, 9:20 AM","20/11/2025, 12:00 AM","26/11/2025, 12:00 AM",4,40,40,SURFACE,DOOR,TBB(T.P),PART-LOAD,734.56,N,N,,Nov,N,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,49,2855,MAHALUNGE NEW WH DELIVERY,0,"4/11/2025, 8:58 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,EAST-I,WEST BENGAL,SILIGURI-WEST BANGAL,811,111298,REDTAPE LTD,REDTAPE LIMITED,90400,"10/11/2025, 12:00 AM","7/11/2025, 5:47 PM","13/11/2025, 8:37 PM","13/11/2025, 12:00 AM","18/11/2025, 12:00 AM",3,30,30,SURFACE,DOOR,TBB(T.P),PART-LOAD,651.73,N,N,,Nov,Y,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,49,811,SILIGURI-WEST BANGAL,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
111298,REDTAPE LTD,3.30225E+12,"4/11/2025, 12:00 AM",NORTH-II,UTTARAKHAND,KASHIPUR-UTTRAKHAND,3302,NORTH-II,PUNJAB,LUDHIANA HUB,1920,111298,REDTAPE LTD,REDTAPE LIMTED,801175,"9/11/2025, 12:00 AM","6/11/2025, 5:27 AM","8/11/2025, 9:09 AM","8/11/2025, 12:00 AM","10/11/2025, 12:00 AM",4,40,40,SURFACE,DOOR,TBB(T.P),PART-LOAD,648.2,N,N,,Nov,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,5,0,5,BRIJESH(19048),19048,50,103,AMBALA HUB-HARYANA,0,"4/11/2025, 8:51 PM",REG,"27/11/2025, 12:00 AM"
